type,name,lat,lon,to spgr,to ktd,elev,elev_num
SHELTER,Springer Mountain Shelter,34.6292728,-84.192975,0.2,2174.4,3730 ft,3730
SHELTER,Black Gap Shelter,34.6176819,-84.198711,1.5,2173.1,3300 ft,3300
SHELTER,Stover Creek Shelter,34.6495767,-84.1997597,2.5,2172.1,2870 ft,2870
SHELTER,Hawk Mountain Shelter,34.6659577,-84.1363386,7.6,2167,3200 ft,3200
SHELTER,Gooch Mountain Shelter,34.6533256,-84.0342084,14.9,2159.7,3000 ft,3000
SHELTER,Woods Hole Shelter,34.7372479,-83.954924,26.8,2147.8,3600 ft,3600
SHELTER,Blood Mountain Shelter,34.7400792,-83.9374442,28.1,2146.5,4450 ft,4450
SHELTER,Whitley Gap Shelter,34.7125074,-83.8342857,36.7,2137.9,3370 ft,3370
SHELTER,Low Gap Shelter,34.7763053,-83.8245496,41.1,2133.5,2990 ft,2990
SHELTER,Blue Mountain Shelter,34.8172349,-83.7667067,48.3,2126.3,3900 ft,3900
SHELTER,Tray Mountain Shelter,34.8040756,-83.6767785,56,2118.6,4200 ft,4200
SHELTER,Deep Gap Shelter,34.8824641,-83.6460608,63.1,2111.5,3440 ft,3440
SHELTER,Plumorchard Gap Shelter,34.9461587,-83.5881925,70.9,2103.7,3050 ft,3050
SHELTER,Muskrat Creek Shelter,35.020655,-83.5815196,78.2,2096.4,4600 ft,4600
SHELTER,Standing Indian Shelter,35.0419474,-83.5480465,83.1,2091.5,4760 ft,4760
SHELTER,Carter Gap Shelter (old),34.9990187,-83.4941516,90.7,2083.9,4540 ft,4540
SHELTER,Carter Gap Shelter (new),34.9999868,-83.4947667,90.7,2083.9,4540 ft,4540
SHELTER,Big Spring Shelter,35.0590267,-83.4787948,95.5,2079.1,4940 ft,4940
SHELTER,Rock Gap Shelter,35.0915531,-83.5229901,102.8,2071.8,0760 ft,760
SHELTER,Siler Bald Shelter,35.1442503,-83.5724347,110.3,2064.3,4600 ft,4600
SHELTER,Cold Spring Shelter,35.2310157,-83.5597518,122.4,2052.2,4920 ft,4920
SHELTER,Wesser Bald Shelter,35.2824621,-83.5821123,128.4,2046.2,4115 ft,4115
SHELTER,A. Rufus Morgan Shelter,35.3242861,-83.5901033,133.1,2041.5,2300 ft,2300
SHELTER,Sassafras Gap Shelter,35.33079,-83.6668628,140.8,2033.8,4330 ft,4330
SHELTER,Brown Fork Gap Shelter,35.3743478,-83.7338086,149.9,2024.7,3800 ft,3800
SHELTER,Cable Gap Shelter,35.4153251,-83.7734737,156,2018.6,2880 ft,2880
SHELTER,Fontana Dam Shelter,35.448432,-83.7940435,162.6,2012,1775 ft,1775
SHELTER,Mollies Ridge Shelter,35.5458893,-83.7935136,173.9,2000.7,4570 ft,4570
SHELTER,Russell Field Shelter,35.5618399,-83.7665112,176.4,1998.2,4360 ft,4360
SHELTER,Spence Field Shelter,35.5619025,-83.7326211,179.3,1995.3,4915 ft,4915
SHELTER,Derrick Knob Shelter,35.5663517,-83.6417974,185.6,1989,4880 ft,4880
SHELTER,Silers Bald Shelter,35.5643093,-83.5682326,191.1,1983.5,5460 ft,5460
SHELTER,Double Spring Gap Shelter,35.5652725,-83.5427482,192.8,1981.8,5505 ft,5505
SHELTER,Mt. Collins Shelter,35.5938466,-83.4713028,199.1,1975.5,5870 ft,5870
SHELTER,Icewater Spring Shelter,35.6297885,-83.3862811,206.6,1968,5920 ft,5920
SHELTER,Pecks Corner Shelter,35.6508443,-83.3084848,214,1960.6,5280 ft,5280
SHELTER,Tricorner Knob Shelter,35.6937717,-83.2565301,219.2,1955.4,5920 ft,5920
SHELTER,Cosby Knob Shelter,35.7271836,-83.182078,226.9,1947.7,4700 ft,4700
SHELTER,Davenport Gap Shelter,35.7693221,-83.1235547,234,1940.6,2600 ft,2600
SHELTER,Groundhog Creek Shelter,35.7817559,-83.0261885,244.5,1930.1,2850 ft,2850
SHELTER,Roaring Fork Shelter,35.8224413,-82.9384923,251.9,1922.7,3530 ft,3530
SHELTER,Walnut Mountain Shelter,35.836546,-82.9365471,257.6,1917,4260 ft,4260
SHELTER,Deer Park Mountain Shelter,35.8759289,-82.8612434,267.5,1907.1,2330 ft,2330
SHELTER,Spring Mountain Shelter,35.9515781,-82.7901046,281.7,1892.9,3300 ft,3300
SHELTER,Little Laurel Shelter,36.015082,-82.7357905,290,1884.6,3620 ft,3620
SHELTER,Jerry Cabin,36.0565607,-82.6572202,297.1,1877.5,4150 ft,4150
SHELTER,Flint Mountain Shelter,36.0348823,-82.5967225,303,1871.6,3570 ft,3570
SHELTER,Hogback Ridge Shelter,35.96405,-82.5870327,311.8,1862.8,4255 ft,4255
SHELTER,Bald Mountain Shelter,36.0000923,-82.4781872,321.8,1852.8,5100 ft,5100
SHELTER,No Business Knob Shelter,36.0668644,-82.4334487,332.4,1842.2,3180 ft,3180
SHELTER,Curley Maple Gap Shelter,36.1042581,-82.3968395,342.9,1831.7,3070 ft,3070
SHELTER,Cherry Gap Shelter,36.1293282,-82.2640074,355.1,1819.5,3900 ft,3900
SHELTER,Clyde Smith Shelter,36.1485359,-82.1611868,363.9,1810.7,4400 ft,4400
SHELTER,Stan Murray Shelter,36.1123643,-82.0657368,375.1,1799.5,5050 ft,5050
SHELTER,Overmountain Shelter,36.1236332,-82.0542594,376.8,1797.8,4550 ft,4550
SHELTER,Apple House Shelter,36.1721768,-82.0111785,385,1789.6,3000 ft,3000
SHELTER,Moreland Gap Shelter,36.2202123,-82.0883647,403.2,1771.4,3815 ft,3815
SHELTER,Laurel Fork Shelter,36.2786447,-82.1362319,411.2,1763.4,2450 ft,2450
SHELTER,Watauga Lake Shelter,36.3139645,-82.1293868,420,1754.6,2130 ft,2130
SHELTER,Vandeventer Shelter,36.3670304,-82.0588044,426.8,1747.8,3620 ft,3620
SHELTER,Iron Mountain Shelter,36.4356175,-81.9908857,433.6,1741,4125 ft,4125
SHELTER,Double Springs Shelter,36.5090586,-81.9860558,441.2,1733.4,4060 ft,4060
SHELTER,Abingdon Gap Shelter,36.5810973,-81.902055,449.5,1725.1,3785 ft,3785
SHELTER,Saunders Shelter,36.6377834,-81.7129853,468.9,1705.7,3310 ft,3310
SHELTER,Lost Mountain Shelter,36.6441387,-81.6561153,475.3,1699.3,3360 ft,3360
SHELTER,Thomas Knob Shelter,36.6566421,-81.5351811,487.5,1687.1,5400 ft,5400
SHELTER,Wise Shelter,36.6540027,-81.4984093,492.6,1682,4460 ft,4460
SHELTER,Old Orchard Shelter,36.6832923,-81.5110583,498.5,1676.1,4050 ft,4050
SHELTER,Raccoon Branch Shelter,36.7309988,-81.4718118,510.2,1664.4,3570 ft,3570
SHELTER,Trimpi Shelter,36.7492587,-81.480436,512.6,1662,2900 ft,2900
SHELTER,Partnership Shelter,36.8094783,-81.422411,523.2,1651.4,3360 ft,3360
SHELTER,Chatfield Shelter,36.8499831,-81.3631238,530.3,1644.3,3150 ft,3150
SHELTER,Davis Path Shelter,36.9145127,-81.3767313,537.5,1637.1,2840 ft,2840
SHELTER,Knot Maul Branch Shelter,37.000737,-81.4043773,548.7,1625.9,2880 ft,2880
SHELTER,Chestnut Knob Shelter,37.0577631,-81.3993256,557.7,1616.9,4409 ft,4409
SHELTER,Jenkins Shelter,37.0934615,-81.2476124,567.7,1606.9,2500 ft,2500
SHELTER,Helveys Mill Shelter,37.1326964,-81.1042278,581.5,1593.1,3090 ft,3090
SHELTER,Jenny Knob Shelter,37.155056,-80.9800855,591.3,1583.3,2800 ft,2800
SHELTER,Wapiti Shelter,37.2240141,-80.8239444,605.5,1569.1,2640 ft,2640
SHELTER,Doc's Knob Shelter,37.2702763,-80.836224,613.9,1560.7,3555 ft,3555
SHELTER,Rice Field Shelter,37.3748614,-80.7583543,628.8,1545.8,3375 ft,3375
SHELTER,Pine Swamp Branch Shelter,41.8816194,-73.3916426,641.3,1533.3,2530 ft,2530
SHELTER,Bailey Gap Shelter,37.4009267,-80.5770362,645,1529.6,3525 ft,3525
SHELTER,War Spur Shelter,37.3976093,-80.4738348,653.8,1520.8,2340 ft,2340
SHELTER,Laurel Creek Shelter,37.3589782,-80.4209807,659.6,1515,2720 ft,2720
SHELTER,Sarver Hollow Shelter,37.3554515,-80.3351967,666,1508.6,3000 ft,3000
SHELTER,Niday Shelter,37.3875539,-80.2642126,672,1502.6,1800 ft,1800
SHELTER,Pickle Branch Shelter,37.3881068,-80.1911152,681.9,1492.7,1845 ft,1845
SHELTER,Boy Scout Shelter,37.3853788,-80.073909,695.5,1479.1,1980 ft,1980
SHELTER,Catawba Mountain Shelter,37.3882625,-80.0571996,696.5,1478.1,2145 ft,2145
SHELTER,Campbell Shelter,37.3908569,-80.0292814,698.9,1475.7,2580 ft,2580
SHELTER,Lamberts Meadow Shelter,37.4346261,-79.9875626,704.9,1469.7,2080 ft,2080
SHELTER,Fullhardt Knob Shelter,37.3985317,-79.8537058,719.3,1455.3,2670 ft,2670
SHELTER,Wilson Creek Shelter,37.4193262,-79.7855048,725.5,1449.1,1830 ft,1830
SHELTER,Bobblets Gap Shelter,37.4672608,-79.7012044,732.8,1441.8,1920 ft,1920
SHELTER,Cove Mountain Shelter,37.5117698,-79.6508263,739.2,1435.4,1925 ft,1925
SHELTER,Bryant Ridge Shelter,37.5301026,-79.585326,746.1,1428.5,1320 ft,1320
SHELTER,Cornelius Creek Shelter,37.4939756,-79.5469707,751.1,1423.5,3145 ft,3145
SHELTER,Thunder Hill Shelter,37.5274386,-79.5039496,756.4,1418.2,3960 ft,3960
SHELTER,Matts Creek Shelter,37.5995108,-79.4132249,768.8,1405.8,835 ft,835
SHELTER,Johns Hollow Shelter,37.6130592,-79.3918448,772.7,1401.9,1020 ft,1020
SHELTER,Punchbowl Shelter,37.6778118,-79.3385164,781.5,1393.1,2500 ft,2500
SHELTER,Brown Mountain Creek Shelter,37.7102862,-79.2679286,791,1383.6,1395 ft,1395
SHELTER,Cow Camp Shelter,37.7466787,-79.2130641,796.6,1378,3160 ft,3160
SHELTER,Seeley-Woodworth Shelter,37.8189848,-79.1548883,806.8,1367.8,3770 ft,3770
SHELTER,The Priest Shelter,37.8178045,-79.0703443,813.7,1360.9,3840 ft,3840
SHELTER,Harpers Creek Shelter,37.8564688,-79.0009732,821.1,1353.5,1800 ft,1800
SHELTER,Maupin Field Shelter,37.8849346,-78.9935968,827.3,1347.3,2720 ft,2720
SHELTER,Paul C. Wolfe Shelter,37.9856889,-78.8836462,843.4,1331.2,1700 ft,1700
SHELTER,Calf Mountain Shelter,38.0855703,-78.7865632,855.4,1319.2,2700 ft,2700
SHELTER,Blackrock Hut,38.2141322,-78.7423944,868.4,1306.2,2645 ft,2645
SHELTER,Pinefield Hut,38.2905971,-78.6457316,881.6,1293,2430 ft,2430
SHELTER,Hightop Hut,38.3330855,-78.5583619,889.8,1284.8,3175 ft,3175
SHELTER,Bearfence Mountain Hut,38.4441242,-78.4704345,902.2,1272.4,3110 ft,3110
SHELTER,Rock Spring Hut,38.5531171,-78.408309,913.7,1260.9,3465 ft,3465
SHELTER,Pass Mountain Hut,38.6766102,-78.3189085,929,1245.6,2690 ft,2690
SHELTER,Gravel Springs Hut,38.7635129,-78.2342133,942.1,1232.5,2480 ft,2480
SHELTER,Tom Floyd Wayside Shelter,38.8504311,-78.1636383,952.6,1222,1900 ft,1900
SHELTER,Jim & Molly Denton Shelter,38.8899997,-78.0830451,960.7,1213.9,1310 ft,1310
SHELTER,Manassas Gap Shelter,38.9306324,-78.0327781,966.2,1208.4,1655 ft,1655
SHELTER,Dick's Dome Shelter,38.969954,-77.9967334,970.6,1204,1230 ft,1230
SHELTER,Rod Hollow Shelter,39.0478551,-77.9440873,979,1195.6,840 ft,840
SHELTER,Sam Moore Shelter,39.0906766,-77.8862848,985.9,1188.7,990 ft,990
SHELTER,David Lesser Shelter,39.227215,-77.7792448,1000.4,1174.2,1430 ft,1430
SHELTER,Ed Garvey Shelter,39.356454,-77.6642532,1015.8,1158.8,650 ft,650
SHELTER,Crampton Gap Shelter,39.4125585,-77.63734,1019.9,1154.7,1000 ft,1000
SHELTER,Rocky Run Shelter,39.4608415,-77.631046,1024.9,1149.7,970 ft,970
SHELTER,Pine Knob Shelter,39.5425312,-77.6020871,1032.4,1142.2,1360 ft,1360
SHELTER,Ensign Cowall Shelter,39.6277409,-77.5576192,1040.6,1134,1430 ft,1430
SHELTER,Devils Racecourse Shelter,39.6720608,-77.52433,1045.5,1129.1,1480 ft,1480
SHELTER,Deer Lick Shelters,39.766212,-77.4848896,1055.1,1119.5,1420 ft,1420
SHELTER,Antietam Shelter,39.7938314,-77.4826513,1057.5,1117.1,890 ft,890
SHELTER,Tumbling Run Shelters,39.805027,-77.4779358,1058.7,1115.9,1120 ft,1120
SHELTER,Rocky Mountain Shelters,39.8685824,-77.5005762,1065.3,1109.3,1520 ft,1520
SHELTER,Quarry Gap Shelters,39.9319782,-77.486416,1070.9,1103.7,1455 ft,1455
SHELTER,Birch Run Shelters,39.9846095,-77.4204207,1078.3,1096.3,1795 ft,1795
SHELTER,Toms Run Shelters,40.0343123,-77.3569912,1084.5,1090.1,1300 ft,1300
SHELTER,James Fry Shelter,40.0629915,-77.2060616,1095.4,1079.2,805 ft,805
SHELTER,Alec Kennedy Shelter,40.1119419,-77.1039282,1103.7,1070.9,850 ft,850
SHELTER,Darlington Shelter,40.301999,-77.0870194,1121.9,1052.7,1170 ft,1170
SHELTER,Clarks Ferry Shelter,40.3922413,-76.993699,1137.8,1036.8,1060 ft,1060
SHELTER,Peters Mountain Shelter,40.4258053,-76.8793499,1144.6,1030,1180 ft,1180
SHELTER,Rausch Gap Shelter,40.4985403,-76.6001781,1162.1,1012.5,970 ft,970
SHELTER,William Penn Shelter,40.4956167,-76.4140005,1175.4,999.2,1300 ft,1300
SHELTER,501 Shelter,40.5125193,-76.3465319,1180,994.6,1460 ft,1460
SHELTER,Eagles Nest Shelter,40.5493069,-76.1523183,1194.6,980,1510 ft,1510
SHELTER,Windsor Furnace Shelter,40.5903023,-75.9419384,1209.3,965.3,880 ft,880
SHELTER,Eckville Shelter,40.632854,-75.958437,1218.4,956.2,535 ft,535
SHELTER,Allentown Shelter,40.6830742,-75.8740029,1225.8,948.8,1350 ft,1350
SHELTER,Bake Oven Knob Shelter,40.7541307,-75.727027,1235.8,938.8,1380 ft,1380
SHELTER,George W. Outerbridge Shelter,40.7824958,-75.6179417,1242.6,932,1000 ft,1000
SHELTER,Leroy A. Smith Shelter,40.8393601,-75.3594183,1259.3,915.3,1410 ft,1410
SHELTER,Kirkridge Shelter,40.9367036,-75.1864659,1273.1,901.5,1480 ft,1480
SHELTER,Brink Road Shelter,41.1532025,-74.8377673,1304.3,870.3,1110 ft,1110
SHELTER,Gren Anderson Shelter,41.1993948,-74.7526601,1310.9,863.7,1320 ft,1320
SHELTER,Mashipacong Shelter,41.2521191,-74.6864109,1316.7,857.9,1425 ft,1425
SHELTER,Rutherford Shelter,41.2774709,-74.678038,1319.6,855,1345 ft,1345
SHELTER,High Point Shelter,41.3277535,-74.643334,1323.9,850.7,1280 ft,1280
SHELTER,Pochuck Mountain Shelter,41.271666,-74.5158464,1336.3,838.3,840 ft,840
SHELTER,Wawayanda Shelter,41.2021897,-74.3980628,1348.1,826.5,1200 ft,1200
SHELTER,Wildcat Shelter,41.2683493,-74.2678444,1360.1,814.5,1180 ft,1180
SHELTER,Fingerboard Shelter,41.2632811,-74.1039993,1374.4,800.2,1300 ft,1300
SHELTER,William Brien Memorial Shelter,41.2796995,-74.0594404,1379.7,794.9,1070 ft,1070
SHELTER,West Mountain Shelter,41.2840954,-74.0106693,1382.8,791.8,1240 ft,1240
SHELTER,RPH Shelter,41.5143776,-73.7924771,1413.8,760.8,360 ft,360
SHELTER,Morgan Stewart Memorial Shelter,41.5645419,-73.6916941,1422.8,751.8,1285 ft,1285
SHELTER,Telephone Pioneers Shelter,41.6042669,-73.6188684,1430.4,744.2,910 ft,910
SHELTER,Wiley Shelter,41.6377394,-73.5322772,1439.4,735.2,740 ft,740
SHELTER,Ten Mile River Lean-to,41.6650626,-73.5094805,1443.4,731.2,290 ft,290
SHELTER,Mt. Algo Lean-to,41.7316445,-73.4961982,1451.8,722.8,655 ft,655
SHELTER,Stewart Hollow Brook Lean-to,41.7785903,-73.4193254,1459.1,715.5,425 ft,425
SHELTER,Pine Swamp Brook Lean-to,37.4221543,-80.608555,1469.1,705.5,1075 ft,1075
SHELTER,Limestone Spring Lean-to,41.9751184,-73.3918416,1481.4,693.2,980 ft,980
SHELTER,Riga Lean-to,42.0145809,-73.4477093,1488.9,685.7,1610 ft,1610
SHELTER,Brassie Brook Lean-to,42.0283133,-73.4531448,1490.1,684.5,1705 ft,1705
SHELTER,The Hemlocks Lean-to,42.1099058,-73.4290072,1498.9,675.7,1880 ft,1880
SHELTER,Glen Brook Lean-to,42.1111405,-73.4283271,1499,675.6,1885 ft,1885
SHELTER,Tom Leonard Lean-to,42.1648154,-73.3057738,1513.3,661.3,1540 ft,1540
SHELTER,Mt. Wilcox South Lean-to,42.2077997,-73.2680723,1518.6,656,1720 ft,1720
SHELTER,Mt. Wilcox North Lean-to,42.2210009,-73.2500875,1520.4,654.2,1950 ft,1950
SHELTER,October Mountain Lean-to,42.3548505,-73.1540631,1543.2,631.4,1930 ft,1930
SHELTER,Kay Wood Lean-to,42.4524847,-73.1614318,1552,622.6,1860 ft,1860
SHELTER,Mark Noepel Lean-to,42.6085306,-73.1840666,1568.7,605.9,2750 ft,2750
SHELTER,Wilbur Clearing Lean-to,42.6684803,-73.169763,1575.3,599.3,2325 ft,2325
SHELTER,Seth Warner Shelter,42.7718212,-73.1371042,1585.2,589.4,2180 ft,2180
SHELTER,Congdon Shelter,42.848027,-73.1098984,1592.4,582.2,2060 ft,2060
SHELTER,Melville Nauheim Shelter,42.8877598,-73.0957097,1598.3,576.3,2330 ft,2330
SHELTER,Goddard Shelter,42.9741132,-73.072156,1606.8,567.8,3540 ft,3540
SHELTER,Kid Gore Shelter,43.013011,-73.0410989,1611.1,563.5,2795 ft,2795
SHELTER,Caughnawaga Shelter,43.0149833,-73.0436322,1611.1,563.5,2795 ft,2795
SHELTER,Story Spring Shelter,43.0505177,-73.0125342,1615.7,558.9,2810 ft,2810
SHELTER,Stratton Pond Shelter,43.1013834,-72.9683113,1626.2,548.4,2565 ft,2565
SHELTER,William B. Douglas Shelter,43.1444805,-72.9909392,1631,543.6,2210 ft,2210
SHELTER,Spruce Peak Shelter,43.1785732,-72.9952017,1634,540.6,2180 ft,2180
SHELTER,Peru Peak Shelter,43.3012945,-72.9523941,1646.9,527.7,2605 ft,2605
SHELTER,Old Job Shelter,43.3540508,-72.9284574,1653.1,521.5,1665 ft,1665
SHELTER,Big Branch Shelter,43.3640482,-72.9464144,1653.3,521.3,1460 ft,1460
SHELTER,Lula Tye Shelter,43.395432,-72.9547876,1656.3,518.3,1920 ft,1920
SHELTER,Little Rock Pond Shelter,43.4041957,-72.9531293,1657,517.6,1885 ft,1885
SHELTER,Greenwall Shelter,43.4404004,-72.9286539,1661.4,513.2,2025 ft,2025
SHELTER,Minerva Hinchey Shelter,43.4877651,-72.924512,1666.5,508.1,1605 ft,1605
